data,date
1,2020/2/14
data,date
1,2020/2/15
data,date
1,2020/2/16
data,date
1,2020/2/17
data,date
1,2020/2/18
data,date
1,2020/2/19
data,date
1,2020/2/20
data,date
1,2020/2/21
data,date
1,2020/2/22
data,date
1,2020/2/23
data,date
1,2020/2/24
data,date
1,2020/2/25
data,date
1,2020/2/26
data,date
3,2020/2/27
data,date
4,2020/2/28
data,date
5,2020/2/29
data,date
5,2020/3/1
data,date
6,2020/3/2
data,date
6,2020/3/3
data,date
6,2020/3/4
data,date
6,2020/3/5
data,date
6,2020/3/6
data,date
6,2020/3/7
data,date
6,2020/3/8
data,date
7,2020/3/9
data,date
9,2020/3/10
data,date
12,2020/3/11
data,date
15,2020/3/12
data,date
19,2020/3/13
data,date
21,2020/3/14
data,date
22,2020/3/15
data,date
24,2020/3/16
data,date
28,2020/3/17
data,date
29,2020/3/18
data,date
31,2020/3/19
data,date
33,2020/3/20
data,date
35,2020/3/21
data,date
36,2020/3/22
data,date
41,2020/3/23
data,date
42,2020/3/24
data,date
43,2020/3/25
data,date
45,2020/3/26
data,date
46,2020/3/27
data,date
49,2020/3/28
data,date
52,2020/3/29
data,date
54,2020/3/30
data,date
56,2020/3/31
data,date
57,2020/4/1
data,date
60,2020/4/2
data,date
63,2020/4/3
data,date
69,2020/4/4
data,date
70,2020/4/5
data,date
73,2020/4/6
data,date
80,2020/4/7
data,date
81,2020/4/8
data,date
85,2020/4/9
data,date
88,2020/4/10
data,date
94,2020/4/11
data,date
98,2020/4/12
data,date
102,2020/4/13
data,date
109,2020/4/14
data,date
119,2020/4/15
data,date
136,2020/4/16
data,date
148,2020/4/17
data,date
154,2020/4/18
data,date
161,2020/4/19
data,date
171,2020/4/20
data,date
186,2020/4/21
data,date
277,2020/4/22
data,date
287,2020/4/23
data,date
317,2020/4/24
data,date
334,2020/4/25
data,date
348,2020/4/26
data,date
351,2020/4/27
data,date
376,2020/4/28
data,date
389,2020/4/29
data,date
415,2020/4/30
data,date
432,2020/5/1
data,date
458,2020/5/2
data,date
492,2020/5/3
data,date
510,2020/5/4
data,date
